participant_id	sample_id	assembly	chrom	start1	end1	start2	end2	count	normalization	coordinate_system
SYN001	blood_T01	teaching	demo_chr1	0	10000	70000	80000	1	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	10000	20000	10000	20000	6	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	10000	20000	20000	30000	3	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	10000	20000	30000	40000	2	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	10000	20000	40000	50000	2	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	10000	20000	50000	60000	1	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	10000	20000	60000	70000	1	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	10000	20000	70000	80000	1	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	20000	30000	20000	30000	6	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	20000	30000	30000	40000	3	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	20000	30000	40000	50000	2	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	20000	30000	50000	60000	4	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	20000	30000	60000	70000	1	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	20000	30000	70000	80000	1	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	30000	40000	30000	40000	6	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	30000	40000	40000	50000	3	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	30000	40000	50000	60000	2	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	30000	40000	60000	70000	2	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	30000	40000	70000	80000	1	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	40000	50000	40000	50000	6	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	40000	50000	50000	60000	3	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	40000	50000	60000	70000	2	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	40000	50000	70000	80000	2	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	50000	60000	50000	60000	6	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	50000	60000	60000	70000	3	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	50000	60000	70000	80000	2	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	60000	70000	60000	70000	6	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	60000	70000	70000	80000	3	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	70000	80000	70000	80000	6	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	0	10000	0	10000	112	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	0	10000	10000	20000	56	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	0	10000	20000	30000	37	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	0	10000	30000	40000	28	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	0	10000	40000	50000	22	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	0	10000	50000	60000	19	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	0	10000	60000	70000	16	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	0	10000	70000	80000	14	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	10000	20000	10000	20000	112	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	10000	20000	20000	30000	56	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	10000	20000	30000	40000	37	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	10000	20000	40000	50000	28	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	10000	20000	50000	60000	22	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	10000	20000	60000	70000	19	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	10000	20000	70000	80000	16	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	20000	30000	20000	30000	112	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	20000	30000	30000	40000	56	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	20000	30000	40000	50000	37	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	20000	30000	50000	60000	63	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	20000	30000	60000	70000	22	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	20000	30000	70000	80000	19	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	30000	40000	30000	40000	112	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	30000	40000	40000	50000	56	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	30000	40000	50000	60000	37	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	30000	40000	60000	70000	28	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	30000	40000	70000	80000	22	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	40000	50000	40000	50000	112	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	40000	50000	50000	60000	56	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	40000	50000	60000	70000	37	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	40000	50000	70000	80000	28	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	50000	60000	50000	60000	112	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	50000	60000	60000	70000	56	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	50000	60000	70000	80000	37	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	60000	70000	60000	70000	112	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	60000	70000	70000	80000	56	raw	0-based-half-open
SYN002	liver_bulk	teaching	demo_chr1	70000	80000	70000	80000	112	raw	0-based-half-open
