participant_id	sample_id	molecule	point_id	x	y	z	unit	resolution	reference_id	coordinate_system	start	end
SYN001	blood_bulk	dna	27	-0.741	1.858	18.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	27	27
SYN001	blood_bulk	dna	28	-1.849	0.763	18.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	28	28
SYN001	blood_bulk	dna	29	-1.835	-0.795	19.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	29	29
SYN001	blood_bulk	dna	30	-0.708	-1.870	20.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	30	30
SYN001	blood_bulk	dna	31	0.848	-1.811	21.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	31	31
SYN001	blood_bulk	dna	32	1.890	-0.653	21.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	32	32
SYN001	blood_bulk	dna	33	1.786	0.901	22.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	33	33
SYN001	blood_bulk	dna	34	0.598	1.909	23.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	34	34
SYN001	blood_bulk	dna	35	-0.953	1.759	23.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	35	35
SYN001	blood_bulk	dna	36	-1.925	0.542	24.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	36	36
SYN001	blood_bulk	dna	37	-1.730	-1.004	25.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	37	37
SYN001	blood_bulk	dna	38	-0.485	-1.940	25.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	38	38
SYN001	blood_bulk	dna	39	1.054	-1.700	26.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	39	39
SYN001	blood_bulk	dna	40	1.954	-0.429	27.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	40	40
SYN001	blood_bulk	dna	41	1.668	1.103	28.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	41	41
SYN001	blood_bulk	dna	42	0.371	1.965	28.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	42	42
SYN001	blood_bulk	dna	43	-1.151	1.636	29.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	43	43
SYN001	blood_bulk	dna	44	-1.975	0.314	30.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	44	44
SYN001	blood_bulk	dna	45	-1.601	-1.198	30.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	45	45
SYN001	blood_bulk	dna	46	-0.256	-1.984	31.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	46	46
SYN001	blood_bulk	dna	47	1.245	-1.566	32.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	47	47
SYN001	blood_bulk	dna	48	1.990	-0.198	32.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	48	48
SYN001	blood_bulk	dna	49	1.529	1.290	33.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	49	49
SYN001	blood_bulk	dna	50	0.140	1.995	34.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	50	50
SYN001	blood_bulk	dna	51	-1.334	1.490	35.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	51	51
SYN001	blood_bulk	dna	52	-1.998	0.081	35.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	52	52
SYN001	blood_bulk	dna	53	-1.451	-1.377	36.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	53	53
SYN001	blood_bulk	dna	54	-0.023	-2.000	37.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	54	54
SYN001	blood_bulk	dna	55	1.419	-1.410	37.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	55	55
SYN001	blood_bulk	dna	56	2.000	0.035	38.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	56	56
SYN001	blood_bulk	dna	57	1.368	1.459	39.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	57	57
SYN001	blood_bulk	dna	58	-0.094	1.998	39.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	58	58
SYN001	blood_bulk	dna	59	-1.498	1.325	40.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	59	59
SYN001	blood_bulk	dna	60	-1.994	-0.152	41.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	60	60
SYN001	blood_bulk	dna	61	-1.280	-1.537	42.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	61	61
SYN001	blood_bulk	dna	62	0.210	-1.989	42.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	62	62
SYN001	blood_bulk	dna	63	1.573	-1.235	43.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	63	63
SYN001	blood_bulk	dna	64	1.982	0.268	44.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	64	64
SYN001	blood_bulk	dna	65	1.188	1.609	44.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	65	65
SYN001	blood_bulk	dna	66	-0.326	1.973	45.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	66	66
SYN001	blood_bulk	dna	67	-1.643	1.141	46.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	67	67
SYN001	blood_bulk	dna	68	-1.963	-0.383	46.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	68	68
SYN001	blood_bulk	dna	69	-1.092	-1.675	47.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	69	69
SYN001	blood_bulk	dna	70	0.441	-1.951	48.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	70	70
SYN001	blood_bulk	dna	71	1.706	-1.043	49.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	71	71
SYN001	blood_bulk	dna	72	1.937	0.497	49.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	72	72
SYN001	blood_bulk	dna	73	0.993	1.736	50.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	73	73
SYN001	blood_bulk	dna	74	-0.554	1.922	51.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	74	74
SYN001	blood_bulk	dna	75	-1.764	0.942	51.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	75	75
SYN001	blood_bulk	dna	76	-1.905	-0.610	52.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	76	76
SYN001	blood_bulk	dna	77	-0.890	-1.791	53.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	77	77
SYN001	blood_bulk	dna	78	0.665	-1.886	53.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	78	78
SYN001	blood_bulk	dna	79	1.816	-0.837	54.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	79	79
SYN001	blood_bulk	dna	80	1.866	0.720	55.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	80	80
SYN001	blood_bulk	dna	81	0.784	1.840	56.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	81	81
SYN001	blood_bulk	dna	82	-0.774	1.844	56.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	82	82
SYN001	blood_bulk	dna	83	-1.862	0.730	57.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	83	83
SYN001	blood_bulk	dna	84	-1.821	-0.827	58.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	84	84
SYN001	blood_bulk	dna	85	-0.675	-1.883	58.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	85	85
SYN001	blood_bulk	dna	86	0.880	-1.796	59.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	86	86
SYN001	blood_bulk	dna	87	1.902	-0.620	60.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	87	87
SYN001	blood_bulk	dna	88	1.769	0.932	60.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	88	88
SYN001	blood_bulk	dna	89	0.564	1.919	61.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	89	89
SYN001	blood_bulk	dna	90	-0.984	1.741	62.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	90	90
SYN001	blood_bulk	dna	91	-1.935	0.508	63.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	91	91
SYN001	blood_bulk	dna	92	-1.712	-1.034	63.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	92	92
SYN001	blood_bulk	dna	93	-0.451	-1.948	64.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	93	93
SYN001	blood_bulk	dna	94	1.084	-1.681	65.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	94	94
SYN001	blood_bulk	dna	95	1.961	-0.394	65.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	95	95
SYN001	blood_bulk	dna	96	1.649	1.132	66.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	96	96
SYN001	blood_bulk	dna	97	0.336	1.972	67.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	97	97
SYN001	blood_bulk	dna	98	-1.180	1.615	67.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	98	98
SYN001	blood_bulk	dna	99	-1.980	0.279	68.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	99	99
SYN001	blood_bulk	dna	100	-1.580	-1.227	69.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	100	100
SYN001	blood_bulk	dna	101	-0.221	-1.988	70.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	101	101
SYN001	blood_bulk	dna	102	1.272	-1.543	70.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	102	102
SYN001	blood_bulk	dna	103	1.993	-0.163	71.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	103	103
SYN001	blood_bulk	dna	104	1.505	1.317	72.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	104	104
SYN001	blood_bulk	dna	105	0.104	1.997	72.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	105	105
SYN001	blood_bulk	dna	106	-1.360	1.466	73.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	106	106
SYN001	blood_bulk	dna	107	-1.999	0.046	74.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	107	107
SYN001	blood_bulk	dna	108	-1.426	-1.402	74.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	108	108
SYN001	blood_bulk	dna	109	0.012	-2.000	75.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	109	109
SYN001	blood_bulk	dna	110	1.443	-1.384	76.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	110	110
SYN001	blood_bulk	dna	111	1.999	0.071	77.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	111	111
SYN001	blood_bulk	dna	112	1.342	1.483	77.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	112	112
SYN001	blood_bulk	dna	113	-0.129	1.996	78.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	113	113
SYN001	blood_bulk	dna	114	-1.522	1.298	79.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	114	114
SYN001	blood_bulk	dna	115	-1.991	-0.187	79.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	115	115
SYN001	blood_bulk	dna	116	-1.253	-1.559	80.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	116	116
SYN001	blood_bulk	dna	117	0.245	-1.985	81.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	117	117
SYN001	blood_bulk	dna	118	1.595	-1.207	81.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	118	118
SYN001	blood_bulk	dna	119	1.977	0.303	82.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	119	119
SYN001	blood_bulk	dna	120	1.160	1.629	83.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	120	120
SYN001	blood_bulk	dna	121	-0.361	1.967	84.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	121	121
SYN001	blood_bulk	dna	122	-1.663	1.112	84.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	122	122
SYN001	blood_bulk	dna	123	-1.956	-0.418	85.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	123	123
SYN001	blood_bulk	dna	124	-1.063	-1.694	86.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	124	124
SYN001	blood_bulk	dna	125	0.475	-1.943	86.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	125	125
SYN001	blood_bulk	dna	126	1.725	-1.013	87.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	126	126
SYN001	blood_bulk	dna	127	1.928	0.532	88.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	127	127
SYN001	blood_bulk	dna	128	0.962	1.753	88.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	128	128
SYN001	blood_bulk	dna	129	-0.588	1.912	89.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	129	129
SYN001	blood_bulk	dna	130	-1.781	0.910	90.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	130	130
SYN001	blood_bulk	dna	131	-1.894	-0.643	91.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	131	131
SYN001	blood_bulk	dna	132	-0.858	-1.807	91.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	132	132
SYN001	blood_bulk	dna	133	0.698	-1.874	92.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	133	133
SYN001	blood_bulk	dna	134	1.831	-0.805	93.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	134	134
SYN001	blood_bulk	dna	135	1.853	0.753	93.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	135	135
SYN001	blood_bulk	dna	136	0.751	1.854	94.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	136	136
SYN001	blood_bulk	dna	137	-0.806	1.830	95.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	137	137
SYN001	blood_bulk	dna	138	-1.875	0.697	95.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	138	138
SYN001	blood_bulk	dna	139	-1.806	-0.860	96.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	139	139
SYN001	blood_bulk	dna	140	-0.642	-1.894	97.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	140	140
SYN001	blood_bulk	dna	141	0.912	-1.780	98.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	141	141
SYN001	blood_bulk	dna	142	1.912	-0.586	98.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	142	142
SYN001	blood_bulk	dna	143	1.753	0.964	99.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	143	143
SYN001	blood_bulk	dna	144	0.530	1.929	100.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	144	144
SYN001	blood_bulk	dna	145	-1.014	1.724	100.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	145	145
SYN001	blood_bulk	dna	146	-1.943	0.473	101.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	146	146
SYN001	blood_bulk	dna	147	-1.693	-1.064	102.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	147	147
SYN001	blood_bulk	dna	148	-0.416	-1.956	102.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	148	148
SYN001	blood_bulk	dna	149	1.113	-1.662	103.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	149	149
SYN001	blood_bulk	dna	150	1.968	-0.359	104.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	150	150
SYN001	blood_bulk	dna	151	1.628	1.161	105.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	151	151
SYN001	blood_bulk	dna	152	0.301	1.977	105.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	152	152
SYN001	blood_bulk	dna	153	-1.208	1.594	106.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	153	153
SYN001	blood_bulk	dna	154	-1.985	0.244	107.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	154	154
SYN001	blood_bulk	dna	155	-1.558	-1.254	107.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	155	155
SYN001	blood_bulk	dna	156	-0.186	-1.991	108.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	156	156
SYN001	blood_bulk	dna	157	1.299	-1.521	109.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	157	157
SYN001	blood_bulk	dna	158	1.996	-0.127	109.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	158	158
SYN001	blood_bulk	dna	159	1.482	1.343	110.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	159	159
SYN001	blood_bulk	dna	160	0.069	1.999	111.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	160	160
SYN001	blood_bulk	dna	161	-1.386	1.442	112.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	161	161
SYN001	blood_bulk	dna	162	-2.000	0.011	112.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	162	162
SYN001	blood_bulk	dna	163	-1.401	-1.427	113.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	163	163
SYN001	blood_bulk	dna	164	0.048	-1.999	114.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	164	164
SYN001	blood_bulk	dna	165	1.468	-1.359	114.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	165	165
SYN001	blood_bulk	dna	166	1.997	0.106	115.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	166	166
SYN001	blood_bulk	dna	167	1.315	1.507	116.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	167	167
SYN001	blood_bulk	dna	168	-0.164	1.993	116.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	168	168
SYN001	blood_bulk	dna	169	-1.544	1.271	117.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	169	169
SYN001	blood_bulk	dna	170	-1.988	-0.223	118.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	170	170
SYN001	blood_bulk	dna	171	-1.225	-1.581	119.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	171	171
SYN001	blood_bulk	dna	172	0.281	-1.980	119.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	172	172
SYN001	blood_bulk	dna	173	1.616	-1.178	120.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	173	173
SYN001	blood_bulk	dna	174	1.971	0.338	121.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	174	174
SYN001	blood_bulk	dna	175	1.131	1.650	121.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	175	175
SYN001	blood_bulk	dna	176	-0.396	1.960	122.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	176	176
SYN001	blood_bulk	dna	177	-1.682	1.082	123.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	177	177
SYN001	blood_bulk	dna	178	-1.948	-0.453	123.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	178	178
SYN001	blood_bulk	dna	179	-1.032	-1.713	124.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	179	179
SYN001	blood_bulk	dna	180	0.509	-1.934	125.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	180	180
SYN001	blood_bulk	dna	181	1.742	-0.982	126.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	181	181
SYN001	blood_bulk	dna	182	1.918	0.566	126.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	182	182
SYN001	blood_bulk	dna	183	0.931	1.770	127.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	183	183
SYN001	blood_bulk	dna	184	-0.621	1.901	128.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	184	184
SYN001	blood_bulk	dna	185	-1.797	0.879	128.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	185	185
SYN001	blood_bulk	dna	186	-1.882	-0.677	129.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	186	186
SYN001	blood_bulk	dna	187	-0.826	-1.822	130.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	187	187
SYN001	blood_bulk	dna	188	0.731	-1.861	130.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	188	188
SYN001	blood_bulk	dna	189	1.845	-0.772	131.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	189	189
SYN001	blood_bulk	dna	190	1.839	0.785	132.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	190	190
SYN001	blood_bulk	dna	191	0.718	1.867	133.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	191	191
SYN001	blood_bulk	dna	192	-0.839	1.816	133.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	192	192
SYN001	blood_bulk	dna	193	-1.887	0.663	134.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	193	193
SYN001	blood_bulk	dna	194	-1.790	-0.891	135.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	194	194
SYN001	blood_bulk	dna	195	-0.608	-1.905	135.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	195	195
SYN001	blood_bulk	dna	196	0.943	-1.764	136.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	196	196
SYN001	blood_bulk	dna	197	1.922	-0.552	137.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	197	197
SYN001	blood_bulk	dna	198	1.735	0.994	137.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	198	198
SYN001	blood_bulk	dna	199	0.496	1.938	138.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	199	199
SYN001	blood_bulk	dna	200	-1.045	1.705	139.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	200	200
SYN001	blood_bulk	dna	201	-1.951	0.439	140.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	201	201
SYN001	blood_bulk	dna	202	-1.674	-1.094	140.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	202	202
SYN001	blood_bulk	dna	203	-0.382	-1.963	141.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	203	203
SYN001	blood_bulk	dna	204	1.142	-1.642	142.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	204	204
SYN001	blood_bulk	dna	205	1.974	-0.324	142.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	205	205
SYN001	blood_bulk	dna	206	1.608	1.190	143.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	206	206
SYN001	blood_bulk	dna	207	0.266	1.982	144.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	207	207
SYN001	blood_bulk	dna	208	-1.236	1.572	144.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	208	208
SYN001	blood_bulk	dna	209	-1.989	0.208	145.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	209	209
SYN001	blood_bulk	dna	210	-1.535	-1.282	146.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	210	210
SYN001	blood_bulk	dna	211	-0.150	-1.994	147.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	211	211
SYN001	blood_bulk	dna	212	1.326	-1.497	147.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	212	212
SYN001	blood_bulk	dna	213	1.998	-0.092	148.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	213	213
SYN001	blood_bulk	dna	214	1.458	1.369	149.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	214	214
SYN001	blood_bulk	dna	215	0.034	2.000	149.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	215	215
SYN001	blood_bulk	dna	216	-1.411	1.417	150.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	216	216
SYN001	blood_bulk	dna	217	-2.000	-0.025	151.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	217	217
SYN001	blood_bulk	dna	218	-1.376	-1.452	151.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	218	218
SYN001	blood_bulk	dna	219	0.083	-1.998	152.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	219	219
SYN001	blood_bulk	dna	220	1.491	-1.333	153.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	220	220
